"arrilot/laravel-widgets"	"3.13.1"
"asm89/stack-cors"	"v2.0.1"
"brick/math"	"0.9.1"
"composer/ca-bundle"	"1.2.8"
"composer/composer"	"1.10.15"
"composer/semver"	"1.7.1"
"composer/spdx-licenses"	"1.5.4"
"composer/xdebug-handler"	"1.4.3"
"dnoegel/php-xdg-base-dir"	"v0.1.1"
"doctrine/cache"	"1.10.2"
"doctrine/dbal"	"2.11.1"
"doctrine/event-manager"	"1.1.1"
"doctrine/inflector"	"2.0.3"
"doctrine/lexer"	"1.2.1"
"dragonmantank/cron-expression"	"v2.3.1"
"egulias/email-validator"	"2.1.22"
"fideloper/proxy"	"4.4.0"
"fruitcake/laravel-cors"	"v2.0.2"
"guzzlehttp/guzzle"	"6.5.5"
"guzzlehttp/promises"	"1.4.0"
"guzzlehttp/psr7"	"1.7.0"
"intervention/image"	"2.5.1"
"justinrainbow/json-schema"	"5.2.10"
"larapack/doctrine-support"	"v0.1.9"
"larapack/hooks"	"v1.0.12"
"larapack/voyager-hooks"	"v1.2.3"
"laravel/framework"	"v7.28.4"
"laravel/tinker"	"v2.4.2"
"laravel/ui"	"v2.4.1"
"league/commonmark"	"1.5.5"
"league/flysystem"	"1.1.3"
"league/mime-type-detection"	"1.5.0"
"monolog/monolog"	"2.1.1"
"nesbot/carbon"	"2.41.3"
"nikic/php-parser"	"v4.10.2"
"opis/closure"	"3.6.0"
"paragonie/random_compat"	"v9.99.99"
"phpoption/phpoption"	"1.7.5"
"psr/container"	"1.0.0"
"psr/event-dispatcher"	"1.0.0"
"psr/http-message"	"1.0.1"
"psr/log"	"1.1.3"
"psr/simple-cache"	"1.0.1"
"psy/psysh"	"v0.10.4"
"ralouphie/getallheaders"	"3.0.3"
"ramsey/collection"	"1.1.1"
"ramsey/uuid"	"4.1.1"
"seld/jsonlint"	"1.8.2"
"seld/phar-utils"	"1.1.1"
"swiftmailer/swiftmailer"	"v6.2.3"
"symfony/console"	"v5.1.7"
"symfony/css-selector"	"v5.1.7"
"symfony/deprecation-contracts"	"v2.2.0"
"symfony/error-handler"	"v5.1.7"
"symfony/event-dispatcher"	"v5.1.7"
"symfony/event-dispatcher-contracts"	"v2.2.0"
"symfony/filesystem"	"v5.1.7"
"symfony/finder"	"v5.1.7"
"symfony/http-client-contracts"	"v2.2.0"
"symfony/http-foundation"	"v5.1.7"
"symfony/http-kernel"	"v5.1.7"
"symfony/mime"	"v5.1.7"
"symfony/polyfill-ctype"	"v1.18.1"
"symfony/polyfill-iconv"	"v1.18.1"
"symfony/polyfill-intl-grapheme"	"v1.18.1"
"symfony/polyfill-intl-idn"	"v1.18.1"
"symfony/polyfill-intl-normalizer"	"v1.18.1"
"symfony/polyfill-mbstring"	"v1.18.1"
"symfony/polyfill-php70"	"v1.18.1"
"symfony/polyfill-php72"	"v1.18.1"
"symfony/polyfill-php73"	"v1.18.1"
"symfony/polyfill-php80"	"v1.18.1"
"symfony/process"	"v5.1.7"
"symfony/routing"	"v5.1.7"
"symfony/service-contracts"	"v2.2.0"
"symfony/string"	"v5.1.7"
"symfony/translation"	"v5.1.7"
"symfony/translation-contracts"	"v2.3.0"
"symfony/var-dumper"	"v5.1.7"
"tcg/voyager"	"1.4.x-dev"
"tijsverkoyen/css-to-inline-styles"	"2.2.3"
"vlucas/phpdotenv"	"v4.1.8"
"voku/portable-ascii"	"1.5.3"
"barryvdh/laravel-debugbar"	"v3.5.1"
"doctrine/instantiator"	"1.3.1"
"facade/flare-client-php"	"1.3.6"
"facade/ignition"	"2.3.8"
"facade/ignition-contracts"	"1.0.1"
"filp/whoops"	"2.7.3"
"fzaninotto/faker"	"v1.9.1"
"hamcrest/hamcrest-php"	"v2.0.1"
"maximebf/debugbar"	"v1.16.3"
"mockery/mockery"	"1.4.2"
"myclabs/deep-copy"	"1.10.1"
"nunomaduro/collision"	"v4.2.0"
"phar-io/manifest"	"1.0.3"
"phar-io/version"	"2.0.1"
"phpdocumentor/reflection-common"	"2.2.0"
"phpdocumentor/reflection-docblock"	"5.2.2"
"phpdocumentor/type-resolver"	"1.4.0"
"phpspec/prophecy"	"1.12.1"
"phpunit/php-code-coverage"	"7.0.10"
"phpunit/php-file-iterator"	"2.0.2"
"phpunit/php-text-template"	"1.2.1"
"phpunit/php-timer"	"2.1.2"
"phpunit/php-token-stream"	"3.1.1"
"phpunit/phpunit"	"8.5.8"
"scrivo/highlight.php"	"v9.18.1.2"
"sebastian/code-unit-reverse-lookup"	"1.0.1"
"sebastian/comparator"	"3.0.2"
"sebastian/diff"	"3.0.2"
"sebastian/environment"	"4.2.3"
"sebastian/exporter"	"3.1.2"
"sebastian/global-state"	"3.0.0"
"sebastian/object-enumerator"	"3.0.3"
"sebastian/object-reflector"	"1.1.1"
"sebastian/recursion-context"	"3.0.0"
"sebastian/resource-operations"	"2.0.1"
"sebastian/type"	"1.1.3"
"sebastian/version"	"2.0.1"
"symfony/debug"	"v4.4.15"
"theseer/tokenizer"	"1.2.0"
"webmozart/assert"	"1.9.1"
